epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,586.798,0.67527,0.46798,1.64676,0.91485,0.92308,0.93821,0.80896,0.73314,0.75548,2.28596,0.00167132,0.00167132,0.00167132
168,590.035,0.67255,0.45985,1.57731,0.96494,0.92308,0.9575,0.80464,0.70112,0.67131,2.23176,0.00166934,0.00166934,0.00166934
169,593.292,0.66956,0.44737,1.87979,0.96906,0.92308,0.95638,0.82186,0.73822,0.59474,2.33657,0.00166736,0.00166736,0.00166736
170,596.362,0.68888,0.46578,1.65444,0.9757,0.92308,0.96,0.81968,0.74078,0.62767,2.71696,0.00166538,0.00166538,0.00166538
171,599.445,0.65844,0.45665,1.66653,1,0.90134,0.95533,0.7954,0.75692,0.64569,2.84462,0.0016634,0.0016634,0.0016634
172,602.537,0.69318,0.47938,1.70737,0.96546,0.92308,0.9472,0.80986,0.73764,0.60475,2.57478,0.00166142,0.00166142,0.00166142
173,605.675,0.6508,0.44947,1.69737,0.92268,0.92308,0.93183,0.79125,0.77033,0.67609,2.32651,0.00165944,0.00165944,0.00165944
174,608.772,0.61566,0.45795,1.70412,0.92171,0.92308,0.94017,0.77697,0.78863,0.7774,2.25321,0.00165746,0.00165746,0.00165746
175,611.888,0.66786,0.51032,1.62104,0.91514,0.92308,0.95435,0.78126,0.80139,0.67492,2.26937,0.00165548,0.00165548,0.00165548
176,614.988,0.63468,0.46866,1.67831,0.92286,0.92308,0.97556,0.81566,0.76027,0.58394,2.75042,0.0016535,0.0016535,0.0016535
