                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2932,                0.96183,                 1.8873,                      1,                0.89643,                0.93265,                0.56576,                 1.5006,                 1.1449,                 1.9558,              0.0018416,              0.0018416,              0.0018416
                     82,                 1.2812,                0.94974,                 1.7927,                 0.7955,                0.69231,                0.81001,                0.49365,                 1.6174,                 1.3473,                 2.0482,              0.0018396,              0.0018396,              0.0018396
                     83,                 1.2529,                0.94493,                 1.8003,                      1,                  0.887,                0.96292,                0.64952,                 1.3807,                 1.0628,                 1.8214,              0.0018376,              0.0018376,              0.0018376
                     84,                 1.2584,                0.94915,                 1.7863,                0.93496,                0.84615,                   0.94,                0.61184,                 1.3011,                  1.576,                 1.8649,              0.0018357,              0.0018357,              0.0018357
                     85,                 1.1535,                0.88011,                 1.7565,                0.92548,                0.95677,                0.97857,                0.66185,                 1.2839,                 1.0898,                 1.8527,              0.0018337,              0.0018337,              0.0018337
                     86,                 1.1423,                0.87855,                 1.7418,                0.78325,                0.83467,                0.85402,                0.53922,                 1.4462,                 1.2637,                 2.0158,              0.0018317,              0.0018317,              0.0018317
                     87,                 1.1888,                 0.8604,                 1.7503,                0.92101,                0.89826,                0.95385,                0.63497,                 1.3797,                0.99034,                 1.8638,              0.0018297,              0.0018297,              0.0018297
                     88,                 1.1058,                0.84242,                 1.7064,                0.96252,                0.84615,                  0.944,                0.66666,                 1.2262,                0.98405,                 1.8109,              0.0018277,              0.0018277,              0.0018277
                     89,                 1.1845,                0.93252,                 1.7345,                 0.9166,                 0.8455,                0.89107,                0.43927,                 1.6047,                 1.2925,                  2.118,              0.0018258,              0.0018258,              0.0018258
                     90,                 1.2641,                0.96955,                 1.8011,                0.91975,                0.88313,                0.91995,                 0.6424,                 1.2905,                 1.1224,                 1.7569,              0.0018238,              0.0018238,              0.0018238
                     91,                 1.1777,                 0.9292,                 1.7657,                0.99473,                0.92308,                0.94667,                 0.6183,                 1.2999,                 1.4686,                 1.8099,              0.0018218,              0.0018218,              0.0018218
                     92,                 1.2344,                 1.0102,                 1.7878,                0.91875,                0.92308,                0.96833,                0.64388,                 1.2825,                 1.0561,                 1.8241,              0.0018198,              0.0018198,              0.0018198
